"","logFC","logCPM","LR","PValue","FDR"
"UPB1",0.94243836076038,-2.54857358928545,1.90549829606502,0.167464173801797,0.297202962091036
"CSNK1G1",-0.21133871054121,4.51319174595629,1.90543154468688,0.167471614323251,0.297202962091036
"TRIM69",-0.193396121546867,5.34727243689824,1.90537622645218,0.167477780722762,0.297202962091036
"MON1A",-0.222199128320515,4.09683539224584,1.90479992103761,0.167542037748863,0.297274766985826
"RP11.797A18.6",-0.721856798221189,-2.10884133007251,1.90473539487497,0.167549234058782,0.297274766985826
"RP11.46A10.5",0.446033285302911,-0.810077223606996,1.903587003326,0.167677368200578,0.297474598569271
"MRPS26",-0.204293611129767,4.97249572739066,1.9033423989795,0.167704674931744,0.297495532923303
"SPATA1",0.960703886024125,-2.63364982193949,1.90143668662022,0.167917596226419,0.297845699297693
"AC009133.17",0.459410013104167,-0.95696210322763,1.90112298421435,0.167952675228076,0.297880380350433
"DENND5B",-0.762246124089083,-2.22414643493701,1.90089037316897,0.167978691809094,0.297898983394109
"JMJD8",-0.194141509438279,5.3622720820491,1.90024567773098,0.168050822460793,0.297999355662291
"POMT1",0.196989614007234,4.94924725629908,1.89912444021952,0.168176354773015,0.298194396147902
"CIRBP",0.184206583266639,6.52485068561485,1.89883427213134,0.168208859121512,0.298224467447205
"NFS1",-0.196428474086779,4.7382851285012,1.89807779927975,0.168293632337215,0.298346628678961
"SEC22C",-0.200076635739201,4.99578940497177,1.89788721305465,0.168314997873942,0.298346628678961
"APOBEC3D",-0.200549077789271,5.27860795956609,1.89771440599013,0.168334372977644,0.298346628678961
"WDR74",-0.198999355078443,5.71516544111386,1.8976645223177,0.168339966403427,0.298346628678961
"RNASE6",0.990599297428316,-2.68857073114214,1.89657683093491,0.168461981556683,0.29853468963221
"LOXL2",0.426807643817998,-0.606435806627718,1.89644122981865,0.168477200138021,0.29853468963221
"SFR1",-0.259732504520912,2.1720282028725,1.89515588926649,0.168621532851324,0.298762847040325
"TRBV10.2",0.370897395345661,-0.180335588324793,1.89485268068494,0.168655601233111,0.298795614521861
"TVP23C.CDRT4",-1.02451274251766,-2.77632070926431,1.89413836206643,0.168735892955732,0.298910259127952
"AC007249.3",1.34947966726835,-3.14797778074025,1.89364962581461,0.168790853741602,0.298980013759823
"C4BPB",0.327193391627338,0.234394670518326,1.89295027808833,0.168869534523419,0.299091766971178
"SPIN3",-0.349411693179259,-0.046396668894681,1.89194831728521,0.168982334378359,0.299259338078518
"RP11.454H13.1",1.44443357092338,-3.23280175197705,1.8918328095257,0.168995343692607,0.299259338078518
"CDCA7",-0.192597705843443,6.16059100077754,1.89115999856172,0.169071143333191,0.299352159572797
"TAPBPL",0.21047872904366,3.86826358600849,1.89109056511537,0.169078968002649,0.299352159572797
"KRTAP5.9",-1.36879803694523,-3.19858352217996,1.89079230292553,0.169112584813833,0.299384049059092
"RP11.480I12.5",0.627596714477542,-1.786929029309,1.89060689930691,0.16913348532002,0.299393422759235
