"","logFC","logCPM","LR","PValue","FDR"
"RP11.214C8.2",-0.394238721368404,-3.15405985024636,0.169065304050048,0.680943840895243,0.784910640622761
"SPG21",-0.0467659420791598,5.61792199384062,0.169000746739693,0.681001406710387,0.784927432724973
"TRBV7.4",-0.258383976748476,-2.461665488363,0.168724221840222,0.681248129768849,0.785131369740221
"RP11.250B2.3",-0.276393693264925,-2.58927520312362,0.168675149787834,0.681291937875241,0.785131369740221
"ALDH8A1",-0.170395445823291,-1.56107365207556,0.168657866031302,0.681307369381256,0.785131369740221
"KBTBD4",0.0498904742524771,4.39607146920295,0.168462418017631,0.681481936134001,0.785282965795113
"AC116614.1",0.395428948156633,-3.15839033862357,0.168323495841536,0.681606088107147,0.785310761008106
"ZNF350",0.0762777266609004,1.16586771710239,0.168316071512677,0.681612724766209,0.785310761008106
"ZNF667.AS1",-0.0841108235740882,0.76459274436576,0.168266893120936,0.681656689990218,0.785310761008106
"KRT8P12",0.0884084181523831,0.410235390729081,0.16821235056029,0.68170545953245,0.785310761008106
"ZC3H18",-0.045881831191565,6.50650439914058,0.168187739609259,0.681727468579194,0.785310761008106
"HDHD2",-0.0551146687198428,4.13884882791262,0.168111851879286,0.681795345197113,0.785310761008106
"FAM115D",0.159570476684358,-1.40644675095682,0.168086572424004,0.681817959992288,0.785310761008106
"RP1.68D18.2",-0.262978225193072,-2.50009527413565,0.168028344777278,0.681870057529883,0.785310761008106
"RP11.585K14.2",0.350150246034696,-2.98630231634321,0.167997105569158,0.681898012272307,0.785310761008106
"RP3.400N23.6",-0.349651317594826,-2.98718876011091,0.167953739349529,0.68193682403446,0.785310761008106
"SWSAP1",0.0826077260570944,0.902051833150956,0.167906324817549,0.681979265640181,0.785310761008106
"LRRC4",-0.421622088024488,-3.2467351466654,0.167704199858735,0.682160269899462,0.785420102618397
"RN7SL172P",-0.421622088024488,-3.2467351466654,0.167704199858735,0.682160269899462,0.785420102618397
"RP11.214N9.1",0.17973669225799,-1.69413219673209,0.167353840996074,0.682474320588869,0.78567669536613
"FAM214A",-0.0649388022589345,2.74432060148394,0.167348494271279,0.682479116196901,0.78567669536613
"HUS1B",-0.144634216105228,-1.17255286286679,0.167284170269588,0.682536816975692,0.78567669536613
"PECR",0.0555432227504592,3.45800592718546,0.167219805959935,0.682594566875009,0.78567669536613
"SHPK.1",-0.336129630657933,-2.92954479920607,0.167215619995441,0.682598323117328,0.78567669536613
"AL020996.1",0.273567996242936,-2.57600672815367,0.167163523665206,0.682645075941709,0.785680969757008
"TUSC1",0.310874579289164,-2.80289193989778,0.166730584358492,0.683033938127843,0.786035477126721
"SNRPF",-0.0488273219830492,6.04777408566874,0.166724719723213,0.683039209732193,0.786035477126721
"CYP2J2",-0.110560580145764,-0.258654511191176,0.16667379618671,0.683084988437566,0.786038607156314
"POC1B.GALNT4",0.127587097694561,-0.666094106614985,0.166075326497556,0.683623606834906,0.786586386356589
"NA..3",-0.0766393488161779,14.8393272544733,0.166049142182601,0.68364719835298,0.786586386356589
"FMO4",0.111539199108896,-0.295591227910049,0.165909032790047,0.683773470841558,0.786664667564069
"RP11.394I13.2",0.369543162206526,-3.07438154250992,0.165878028904153,0.683801421249337,0.786664667564069
"PCK2",0.0462749021026857,5.90592961284311,0.165800512881916,0.683871316282905,0.786695499322228
"NR2F6",0.0572464809186282,3.26758455517728,0.165320549894262,0.684304516357894,0.787144231009033
"CD320",0.0506822249531205,5.77098023093456,0.165265714258823,0.68435405596933,0.787151615633553
"RP6.65G23.3",0.148497020296773,-1.25147761669423,0.165175626580746,0.684435463777347,0.787195652170834
"KLHDC1",-0.152104101842972,-1.31516389097172,0.16487589588113,0.684706502025877,0.787457770710161
"RP11.112H10.6",-0.198723700838073,-1.94140070921765,0.164730515593003,0.68483806879619,0.787514731449422
"DNAJC28",-0.216799278208018,-2.13091755029812,0.164725830778603,0.684842309600634,0.787514731449422
"PINLYP",0.06411828597132,2.07867001059927,0.164570046925022,0.684983368836613,0.787627324144141
"RP11.333J10.3",0.333607460936871,-2.92784803665289,0.164471205005963,0.685072908583733,0.787680666762993
"GPR174",-0.061440897438195,2.25698489586094,0.164367874574754,0.685166547925029,0.78773871598258
"RP11.24F11.2",0.346773167288183,-2.98989240792957,0.164017980576947,0.685483881016636,0.788053923292317
"PPIB",-0.0435859602516649,8.29429131980139,0.163730355179382,0.685745035370972,0.788304510119465
"RP11.307E17.8",0.27146374203074,-2.58122341047299,0.163621954407028,0.685843528949494,0.788368088972547
"EEF1A1P22",-0.324145455085876,-2.89036201463645,0.163485636978386,0.68596744167014,0.788457089087437
